FlightNum,Date,DepartureTime,DepartureStation,ArrivalTime,ArrivalStation,Captain,CaptainRole,FirstOfficer,FirstOfficerRole,DeadheadCrew
FA854,2021-08-16,13:50,NKX,15:30,CTH,A0007,Captain,A0016,FirstOfficer,"A0010,A0009"
FA885,2021-08-16,14:30,XGS,16:50,NKX,A0005,Captain,A0014,FirstOfficer,
FA813,2021-08-16,14:50,PDK,16:40,NKX,A0003,Captain,A0017,FirstOfficer,
FA855,2021-08-16,16:10,CTH,17:55,NKX,A0010,Captain,A0009,FirstOfficer,
FA864,2021-08-16,17:30,NKX,19:15,PXB,A0008,Captain,A0013,FirstOfficer,
FA865,2021-08-16,20:00,PXB,21:45,NKX,A0008,Captain,A0013,FirstOfficer,
FA890,2021-08-17,07:30,NKX,09:50,XGS,A0005,Captain,A0013,FirstOfficer,
FA872,2021-08-17,07:55,NKX,09:00,PLM,A0004,Captain,A0018,FirstOfficer,
FA680,2021-08-17,08:00,NKX,09:30,PGX,A0001,Captain,A0021,FirstOfficer,"A0003,A0017"
FA873,2021-08-17,09:40,PLM,10:50,NKX,A0004,Captain,A0018,FirstOfficer,
FA681,2021-08-17,10:10,PGX,11:40,NKX,A0003,Captain,A0017,FirstOfficer,
FA891,2021-08-17,10:30,XGS,12:50,NKX,A0005,Captain,A0013,FirstOfficer,
FA884,2021-08-17,11:30,NKX,13:50,XGS,A0006,Captain,A0015,FirstOfficer,"A0002,A0016"
FA812,2021-08-17,12:20,NKX,14:05,PDK,A0004,Captain,A0018,FirstOfficer,
FA854,2021-08-17,13:50,NKX,15:30,CTH,A0011,Captain,A0010,FirstOfficer,
FA885,2021-08-17,14:30,XGS,16:50,NKX,A0002,Captain,A0016,FirstOfficer,
FA813,2021-08-17,14:50,PDK,16:40,NKX,A0004,Captain,A0018,FirstOfficer,
FA855,2021-08-17,16:10,CTH,17:55,NKX,A0011,Captain,A0010,FirstOfficer,
FA864,2021-08-17,17:30,NKX,19:15,PXB,A0009,Captain,A0014,FirstOfficer,
FA865,2021-08-17,20:00,PXB,21:45,NKX,A0009,Captain,A0014,FirstOfficer,
FA890,2021-08-18,07:30,NKX,09:50,XGS,A0006,Captain,A0014,FirstOfficer,
FA872,2021-08-18,07:55,NKX,09:00,PLM,A0011,Captain,A0013,FirstOfficer,
FA680,2021-08-18,08:00,NKX,09:30,PGX,A0002,Captain,A0007,FirstOfficer,"A0004,A0018"
FA873,2021-08-18,09:40,PLM,10:50,NKX,A0011,Captain,A0013,FirstOfficer,
FA681,2021-08-18,10:10,PGX,11:40,NKX,A0004,Captain,A0018,FirstOfficer,
FA891,2021-08-18,10:30,XGS,12:50,NKX,A0006,Captain,A0014,FirstOfficer,
FA884,2021-08-18,11:30,NKX,13:50,XGS,A0011,Captain,A0013,FirstOfficer,
FA812,2021-08-18,12:20,NKX,14:05,PDK,A0010,Captain,A0015,FirstOfficer,
FA854,2021-08-18,13:50,NKX,15:30,CTH,A0006,Captain,A0014,FirstOfficer,"A0003,A0012"
FA885,2021-08-18,14:30,XGS,16:50,NKX,UNCOVERED,,UNCOVERED,,
FA813,2021-08-18,14:50,PDK,16:40,NKX,A0010,Captain,A0015,FirstOfficer,
FA855,2021-08-18,16:10,CTH,17:55,NKX,A0003,Captain,A0012,FirstOfficer,
FA864,2021-08-18,17:30,NKX,19:15,PXB,A0010,Captain,A0015,FirstOfficer,
FA888,2021-08-18,18:40,NKX,21:00,XGS,A0001,Captain,A0005,FirstOfficer,
FA865,2021-08-18,20:00,PXB,21:45,NKX,A0010,Captain,A0015,FirstOfficer,
FA889,2021-08-18,21:40,XGS,00:00,NKX,A0001,Captain,A0005,FirstOfficer,
FA890,2021-08-19,07:30,NKX,09:50,XGS,A0008,Captain,A0015,FirstOfficer,
FA872,2021-08-19,07:55,NKX,09:00,PLM,A0006,Captain,A0021,FirstOfficer,
FA680,2021-08-19,08:00,NKX,09:30,PGX,A0003,Captain,A0009,FirstOfficer,"A0002,A0019"
FA873,2021-08-19,09:40,PLM,10:50,NKX,A0006,Captain,A0021,FirstOfficer,
FA681,2021-08-19,10:10,PGX,11:40,NKX,A0002,Captain,A0019,FirstOfficer,
FA891,2021-08-19,10:30,XGS,12:50,NKX,A0008,Captain,A0015,FirstOfficer,
FA884,2021-08-19,11:30,NKX,13:50,XGS,A0007,Captain,A0017,FirstOfficer,
FA812,2021-08-19,12:20,NKX,14:05,PDK,A0011,Captain,A0016,FirstOfficer,
FA854,2021-08-19,13:50,NKX,15:30,CTH,A0008,Captain,A0015,FirstOfficer,"A0001,A0012"
FA885,2021-08-19,14:30,XGS,16:50,NKX,A0007,Captain,A0017,FirstOfficer,
FA813,2021-08-19,14:50,PDK,16:40,NKX,A0011,Captain,A0016,FirstOfficer,
FA855,2021-08-19,16:10,CTH,17:55,NKX,A0001,Captain,A0012,FirstOfficer,
FA864,2021-08-19,17:30,NKX,19:15,PXB,A0011,Captain,A0016,FirstOfficer,
FA865,2021-08-19,20:00,PXB,21:45,NKX,A0011,Captain,A0016,FirstOfficer,
FA890,2021-08-20,07:30,NKX,09:50,XGS,A0009,Captain,A0016,FirstOfficer,
FA872,2021-08-20,07:55,NKX,09:00,PLM,A0002,Captain,A0013,FirstOfficer,
FA680,2021-08-20,08:00,NKX,09:30,PGX,A0004,Captain,A0010,FirstOfficer,"A0003,A0020"
FA873,2021-08-20,09:40,PLM,10:50,NKX,A0002,Captain,A0013,FirstOfficer,
FA681,2021-08-20,10:10,PGX,11:40,NKX,A0003,Captain,A0020,FirstOfficer,
FA891,2021-08-20,10:30,XGS,12:50,NKX,A0009,Captain,A0016,FirstOfficer,
FA884,2021-08-20,11:30,NKX,13:50,XGS,A0008,Captain,A0018,FirstOfficer,
FA812,2021-08-20,12:20,NKX,14:05,PDK,A0001,Captain,A0017,FirstOfficer,
FA854,2021-08-20,13:50,NKX,15:30,CTH,A0002,Captain,A0013,FirstOfficer,
FA885,2021-08-20,14:30,XGS,16:50,NKX,A0008,Captain,A0018,FirstOfficer,
FA813,2021-08-20,14:50,PDK,16:40,NKX,A0001,Captain,A0017,FirstOfficer,
FA855,2021-08-20,16:10,CTH,17:55,NKX,A0002,Captain,A0013,FirstOfficer,
FA864,2021-08-20,17:30,NKX,19:15,PXB,A0001,Captain,A0017,FirstOfficer,
FA865,2021-08-20,20:00,PXB,21:45,NKX,A0001,Captain,A0017,FirstOfficer,
FA890,2021-08-21,07:30,NKX,09:50,XGS,A0010,Captain,A0017,FirstOfficer,
FA872,2021-08-21,07:55,NKX,09:00,PLM,A0007,Captain,A0013,FirstOfficer,"A0001,A0015"
FA680,2021-08-21,08:00,NKX,09:30,PGX,A0005,Captain,A0012,FirstOfficer,"A0004,A0021"
FA873,2021-08-21,09:40,PLM,10:50,NKX,A0001,Captain,A0015,FirstOfficer,
FA681,2021-08-21,10:10,PGX,11:40,NKX,A0004,Captain,A0021,FirstOfficer,
FA891,2021-08-21,10:30,XGS,12:50,NKX,A0010,Captain,A0017,FirstOfficer,
FA884,2021-08-21,11:30,NKX,13:50,XGS,A0009,Captain,A0019,FirstOfficer,
FA812,2021-08-21,12:20,NKX,14:05,PDK,A0006,Captain,A0020,FirstOfficer,
FA854,2021-08-21,13:50,NKX,15:30,CTH,A0003,Captain,A0014,FirstOfficer,
FA885,2021-08-21,14:30,XGS,16:50,NKX,A0009,Captain,A0019,FirstOfficer,
FA813,2021-08-21,14:50,PDK,16:40,NKX,A0006,Captain,A0020,FirstOfficer,
FA855,2021-08-21,16:10,CTH,17:55,NKX,A0003,Captain,A0014,FirstOfficer,
FA864,2021-08-21,17:30,NKX,19:15,PXB,A0002,Captain,A0018,FirstOfficer,
FA865,2021-08-21,20:00,PXB,21:45,NKX,A0002,Captain,A0018,FirstOfficer,
FA890,2021-08-22,07:30,NKX,09:50,XGS,A0011,Captain,A0018,FirstOfficer,
FA872,2021-08-22,07:55,NKX,09:00,PLM,A0001,Captain,A0014,FirstOfficer,"A0010,A0020"
FA680,2021-08-22,08:00,NKX,09:30,PGX,A0004,Captain,A0015,FirstOfficer,
FA873,2021-08-22,09:40,PLM,10:50,NKX,A0010,Captain,A0020,FirstOfficer,
FA681,2021-08-22,10:10,PGX,11:40,NKX,A0004,Captain,A0015,FirstOfficer,
FA891,2021-08-22,10:30,XGS,12:50,NKX,A0011,Captain,A0018,FirstOfficer,
FA884,2021-08-22,11:30,NKX,13:50,XGS,A0010,Captain,A0020,FirstOfficer,"A0006,A0017"
FA812,2021-08-22,12:20,NKX,14:05,PDK,A0003,Captain,A0019,FirstOfficer,
FA854,2021-08-22,13:50,NKX,15:30,CTH,A0004,Captain,A0015,FirstOfficer,
FA885,2021-08-22,14:30,XGS,16:50,NKX,A0006,Captain,A0017,FirstOfficer,
FA813,2021-08-22,14:50,PDK,16:40,NKX,A0003,Captain,A0019,FirstOfficer,
FA855,2021-08-22,16:10,CTH,17:55,NKX,A0004,Captain,A0015,FirstOfficer,
FA864,2021-08-22,17:30,NKX,19:15,PXB,A0003,Captain,A0019,FirstOfficer,
FA865,2021-08-22,20:00,PXB,21:45,NKX,A0003,Captain,A0019,FirstOfficer,
FA890,2021-08-23,07:30,NKX,09:50,XGS,A0001,Captain,A0019,FirstOfficer,"A0007,A0017"
FA872,2021-08-23,07:55,NKX,09:00,PLM,A0011,Captain,A0021,FirstOfficer,
FA680,2021-08-23,08:00,NKX,09:30,PGX,A0005,Captain,A0016,FirstOfficer,
FA873,2021-08-23,09:40,PLM,10:50,NKX,A0011,Captain,A0021,FirstOfficer,
FA681,2021-08-23,10:10,PGX,11:40,NKX,A0005,Captain,A0016,FirstOfficer,
FA891,2021-08-23,10:30,XGS,12:50,NKX,A0007,Captain,A0017,FirstOfficer,
FA884,2021-08-23,11:30,NKX,13:50,XGS,A0011,Captain,A0021,FirstOfficer,
FA812,2021-08-23,12:20,NKX,14:05,PDK,A0004,Captain,A0020,FirstOfficer,
FA854,2021-08-23,13:50,NKX,15:30,CTH,A0005,Captain,A0016,FirstOfficer,
FA885,2021-08-23,14:30,XGS,16:50,NKX,A0001,Captain,A0019,FirstOfficer,
FA813,2021-08-23,14:50,PDK,16:40,NKX,A0004,Captain,A0020,FirstOfficer,
FA855,2021-08-23,16:10,CTH,17:55,NKX,A0005,Captain,A0016,FirstOfficer,
FA864,2021-08-23,17:30,NKX,19:15,PXB,A0004,Captain,A0020,FirstOfficer,
FA865,2021-08-23,20:00,PXB,21:45,NKX,A0004,Captain,A0020,FirstOfficer,
FA890,2021-08-24,07:30,NKX,09:50,XGS,A0002,Captain,A0020,FirstOfficer,"A0003,A0018"
FA872,2021-08-24,07:55,NKX,09:00,PLM,A0006,Captain,A0017,FirstOfficer,
FA680,2021-08-24,08:00,NKX,09:30,PGX,A0009,Captain,A0013,FirstOfficer,
FA873,2021-08-24,09:40,PLM,10:50,NKX,A0006,Captain,A0017,FirstOfficer,
FA681,2021-08-24,10:10,PGX,11:40,NKX,A0009,Captain,A0013,FirstOfficer,
FA891,2021-08-24,10:30,XGS,12:50,NKX,A0002,Captain,A0020,FirstOfficer,
FA884,2021-08-24,11:30,NKX,13:50,XGS,A0001,Captain,A0007,FirstOfficer,
FA812,2021-08-24,12:20,NKX,14:05,PDK,A0009,Captain,A0013,FirstOfficer,
FA854,2021-08-24,13:50,NKX,15:30,CTH,A0006,Captain,A0017,FirstOfficer,
FA885,2021-08-24,14:30,XGS,16:50,NKX,A0003,Captain,A0018,FirstOfficer,
FA813,2021-08-24,14:50,PDK,16:40,NKX,A0009,Captain,A0013,FirstOfficer,
FA855,2021-08-24,16:10,CTH,17:55,NKX,A0006,Captain,A0017,FirstOfficer,
FA864,2021-08-24,17:30,NKX,19:15,PXB,A0005,Captain,A0021,FirstOfficer,
FA865,2021-08-24,20:00,PXB,21:45,NKX,A0005,Captain,A0021,FirstOfficer,
FA890,2021-08-25,07:30,NKX,09:50,XGS,A0003,Captain,A0021,FirstOfficer,
FA872,2021-08-25,07:55,NKX,09:00,PLM,A0007,Captain,A0018,FirstOfficer,
FA680,2021-08-25,08:00,NKX,09:30,PGX,A0011,Captain,A0014,FirstOfficer,
FA873,2021-08-25,09:40,PLM,10:50,NKX,A0007,Captain,A0018,FirstOfficer,
FA681,2021-08-25,10:10,PGX,11:40,NKX,A0011,Captain,A0014,FirstOfficer,
FA891,2021-08-25,10:30,XGS,12:50,NKX,A0003,Captain,A0021,FirstOfficer,
FA884,2021-08-25,11:30,NKX,13:50,XGS,A0002,Captain,A0008,FirstOfficer,"A0004,A0019"
FA812,2021-08-25,12:20,NKX,14:05,PDK,A0011,Captain,A0014,FirstOfficer,"A0010,A0012"
FA854,2021-08-25,13:50,NKX,15:30,CTH,A0007,Captain,A0018,FirstOfficer,
FA885,2021-08-25,14:30,XGS,16:50,NKX,A0004,Captain,A0019,FirstOfficer,
FA813,2021-08-25,14:50,PDK,16:40,NKX,A0010,Captain,A0012,FirstOfficer,
FA855,2021-08-25,16:10,CTH,17:55,NKX,A0007,Captain,A0018,FirstOfficer,
FA864,2021-08-25,17:30,NKX,19:15,PXB,A0006,Captain,A0005,FirstOfficer,
FA865,2021-08-25,20:00,PXB,21:45,NKX,A0006,Captain,A0005,FirstOfficer,
