CrewID,BaseRole,Date,Flights,FlightRoles,TotalFlyingTime(min),TotalDutyTime(min),DeadheadCount,StartCity,EndCity,HotelRequired
A0006,Captain,2021-08-17,FA884 -> FA885,Captain -> Captain,280,320,0,NKX,NKX,No
A0006,Captain,2021-08-18,FA890,Captain,140,140,0,NKX,XGS,Yes
A0006,Captain,2021-08-20,FA872 -> FA873,Captain -> Captain,135,175,0,NKX,NKX,No
A0006,Captain,2021-08-21,FA812 -> FA813,Deadhead -> Captain,110,260,1,NKX,NKX,No
A0006,FirstOfficer,2021-08-23,FA890,FirstOfficer,140,140,0,NKX,XGS,Yes
A0006,Captain,2021-08-24,FA854 -> FA855,Deadhead -> Captain,105,245,1,NKX,NKX,No
A0006,Captain,2021-08-25,FA864 -> FA865,Captain -> Captain,210,255,0,NKX,NKX,No
A0007,FirstOfficer,2021-08-11,FA864 -> FA865,Deadhead -> FirstOfficer,105,255,1,NKX,NKX,No
A0007,FirstOfficer,2021-08-12,FA872,FirstOfficer,65,65,0,NKX,PLM,Yes
A0007,Captain,2021-08-13,FA680 -> FA681 -> FA854 -> FA855,Captain -> Captain -> Captain -> Captain,385,595,0,NKX,NKX,No
A0007,FirstOfficer,2021-08-14,FA680 -> FA681 -> FA854 -> FA855,FirstOfficer -> FirstOfficer -> FirstOfficer -> FirstOfficer,385,595,0,NKX,NKX,No
A0007,Captain,2021-08-15,FA812 -> FA813 -> FA864 -> FA865,Captain -> Captain -> Captain -> Captain,425,565,0,NKX,NKX,No
A0007,Captain,2021-08-18,FA890 -> FA891,Deadhead -> Captain,140,320,1,NKX,NKX,No
A0007,Captain,2021-08-19,FA872 -> FA873 -> FA884 -> FA885,Captain -> Captain -> Captain -> Captain,415,535,0,NKX,NKX,No
A0007,FirstOfficer,2021-08-24,FA884,FirstOfficer,140,140,0,NKX,XGS,Yes
A0007,Captain,2021-08-25,FA872 -> FA873 -> FA854 -> FA855,Captain -> Captain -> Captain -> Captain,340,600,0,NKX,NKX,No
A0008,Captain,2021-08-11,FA884 -> FA885 -> FA864,Captain -> Captain -> Captain,385,465,0,NKX,PXB,Yes
A0008,FirstOfficer,2021-08-12,FA864 -> FA865,Deadhead -> FirstOfficer,105,255,1,NKX,NKX,No
A0008,Captain,2021-08-14,FA680 -> FA681 -> FA854 -> FA855,Captain -> Captain -> Captain -> Captain,385,595,0,NKX,NKX,No
A0008,FirstOfficer,2021-08-15,FA854 -> FA855,Deadhead -> FirstOfficer,105,245,1,NKX,NKX,No
A0008,Captain,2021-08-16,FA812 -> FA813 -> FA864 -> FA865,Captain -> Captain -> Captain -> Captain,425,565,0,NKX,NKX,No
A0008,Captain,2021-08-19,FA890 -> FA891,Captain -> Captain,280,320,0,NKX,NKX,No
A0008,Captain,2021-08-20,FA884 -> FA885,Captain -> Captain,280,320,0,NKX,NKX,No
A0008,FirstOfficer,2021-08-24,FA890 -> FA885,FirstOfficer -> FirstOfficer,280,560,0,NKX,NKX,No
A0008,FirstOfficer,2021-08-25,FA884,FirstOfficer,140,140,0,NKX,XGS,Yes
A0009,FirstOfficer,2021-08-11,FA680,FirstOfficer,90,90,0,NKX,PGX,Yes
A0009,Captain,2021-08-12,FA884 -> FA885 -> FA864,Captain -> Captain -> Captain,385,465,0,NKX,PXB,Yes
A0009,FirstOfficer,2021-08-13,FA864 -> FA865,Deadhead -> FirstOfficer,105,255,1,NKX,NKX,No
A0009,Captain,2021-08-15,FA854 -> FA855,Deadhead -> Captain,105,245,1,NKX,NKX,No
A0009,FirstOfficer,2021-08-16,FA872 -> FA873 -> FA854 -> FA855,FirstOfficer -> FirstOfficer -> FirstOfficer -> FirstOfficer,340,600,0,NKX,NKX,No
A0009,Captain,2021-08-17,FA812 -> FA813 -> FA864 -> FA865,Captain -> Captain -> Captain -> Captain,425,565,0,NKX,NKX,No
A0009,Captain,2021-08-20,FA890,Captain,140,140,0,NKX,XGS,Yes
A0009,Captain,2021-08-21,FA872 -> FA873 -> FA884,Captain -> Captain -> Captain,275,355,0,NKX,XGS,Yes
A0009,Captain,2021-08-23,FA890 -> FA891,Deadhead -> Captain,140,320,1,NKX,NKX,No
A0009,Captain,2021-08-24,FA680 -> FA681,Captain -> Captain,180,220,0,NKX,NKX,No
A0009,FirstOfficer,2021-08-25,FA890,FirstOfficer,140,140,0,NKX,XGS,Yes
A0010,FirstOfficer,2021-08-12,FA680 -> FA2 -> FA854 -> FA855,FirstOfficer -> FirstOfficer -> FirstOfficer -> FirstOfficer,385,595,0,NKX,NKX,No
A0010,Captain,2021-08-13,FA872 -> FA873 -> FA884 -> FA885,Captain -> Captain -> Captain -> Captain,415,535,0,NKX,NKX,No
A0010,FirstOfficer,2021-08-14,FA864 -> FA865,FirstOfficer -> FirstOfficer,210,255,0,NKX,NKX,No
A0010,Captain,2021-08-16,FA872 -> FA873 -> FA854 -> FA855,Captain -> Captain -> Captain -> Captain,340,600,0,NKX,NKX,No
A0010,FirstOfficer,2021-08-17,FA854 -> FA855,Deadhead -> FirstOfficer,105,245,1,NKX,NKX,No
A0010,Captain,2021-08-18,FA812 -> FA813 -> FA864 -> FA865,Captain -> Captain -> Captain -> Captain,425,565,0,NKX,NKX,No
A0010,Captain,2021-08-21,FA812,Captain,105,105,0,NKX,PDK,Yes
A0010,Captain,2021-08-22,FA872 -> FA873 -> FA884 -> FA885,Captain -> Captain -> Captain -> Captain,415,535,0,NKX,NKX,No
A0011,Captain,2021-08-11,FA812 -> FA813,Captain -> Captain,215,260,0,NKX,NKX,No
A0011,Captain,2021-08-12,FA680 -> FA3,Deadhead -> Captain,75,220,1,NKX,NKX,No
A0011,Captain,2021-08-15,FA872 -> FA873 -> FA884 -> FA885,Captain -> Captain -> Captain -> Captain,415,535,0,NKX,NKX,No
A0011,Captain,2021-08-17,FA854 -> FA855,Deadhead -> Captain,105,245,1,NKX,NKX,No
A0011,Captain,2021-08-19,FA812 -> FA813 -> FA864 -> FA865,Captain -> Captain -> Captain -> Captain,425,565,0,NKX,NKX,No
A0011,Captain,2021-08-20,FA890 -> FA891,Deadhead -> Captain,140,320,1,NKX,NKX,No
A0011,Captain,2021-08-21,FA890 -> FA885,Captain -> Captain,280,560,0,NKX,NKX,No
A0011,Captain,2021-08-23,FA872 -> FA873 -> FA884 -> FA885,Captain -> Captain -> Captain -> Captain,415,535,0,NKX,NKX,No
A0011,Captain,2021-08-24,FA890 -> FA891,Deadhead -> Captain,140,320,1,NKX,NKX,No
A0011,Captain,2021-08-25,FA680 -> FA681,Captain -> Captain,180,220,0,NKX,NKX,No
A0012,FirstOfficer,2021-08-13,FA812 -> FA813,FirstOfficer -> FirstOfficer,215,260,0,NKX,NKX,No
A0012,FirstOfficer,2021-08-14,FA890 -> FA891,FirstOfficer -> FirstOfficer,280,320,0,NKX,NKX,No
A0012,FirstOfficer,2021-08-15,FA812 -> FA813 -> FA864 -> FA865,FirstOfficer -> FirstOfficer -> FirstOfficer -> FirstOfficer,425,565,0,NKX,NKX,No
A0012,FirstOfficer,2021-08-16,FA890 -> FA891,Deadhead -> FirstOfficer,140,320,1,NKX,NKX,No
A0012,FirstOfficer,2021-08-18,FA680 -> FA681 -> FA854 -> FA855,FirstOfficer -> FirstOfficer -> FirstOfficer -> FirstOfficer,385,595,0,NKX,NKX,No
A0012,FirstOfficer,2021-08-19,FA680 -> FA681 -> FA854 -> FA855,FirstOfficer -> FirstOfficer -> FirstOfficer -> FirstOfficer,385,595,0,NKX,NKX,No
A0012,FirstOfficer,2021-08-23,FA812 -> FA813,FirstOfficer -> FirstOfficer,215,260,0,NKX,NKX,No
A0013,FirstOfficer,2021-08-12,FA680 -> FA3,Deadhead -> FirstOfficer,75,220,1,NKX,NKX,No
A0013,FirstOfficer,2021-08-13,FA864,FirstOfficer,105,105,0,NKX,PXB,Yes
A0013,FirstOfficer,2021-08-14,FA872 -> FA873 -> FA884,FirstOfficer -> FirstOfficer -> FirstOfficer,275,355,0,NKX,XGS,Yes
A0013,FirstOfficer,2021-08-16,FA812 -> FA813 -> FA864 -> FA865,FirstOfficer -> FirstOfficer -> FirstOfficer -> FirstOfficer,425,565,0,NKX,NKX,No
A0013,FirstOfficer,2021-08-17,FA680 -> FA681 -> FA854,FirstOfficer -> FirstOfficer -> FirstOfficer,280,450,0,NKX,CTH,Yes
A0013,FirstOfficer,2021-08-18,FA890 -> FA891,Deadhead -> FirstOfficer,140,320,1,NKX,NKX,No
A0013,FirstOfficer,2021-08-20,FA680 -> FA681 -> FA854 -> FA855,FirstOfficer -> FirstOfficer -> FirstOfficer -> FirstOfficer,385,595,0,NKX,NKX,No
A0013,FirstOfficer,2021-08-24,FA872 -> FA873 -> FA812 -> FA813,FirstOfficer -> FirstOfficer -> FirstOfficer -> FirstOfficer,350,525,0,NKX,NKX,No
A0014,FirstOfficer,2021-08-12,FA680 -> FA681,Deadhead -> FirstOfficer,90,220,1,NKX,NKX,No
A0014,FirstOfficer,2021-08-14,FA812 -> FA813,FirstOfficer -> FirstOfficer,215,260,0,NKX,NKX,No
A0014,FirstOfficer,2021-08-16,FA884 -> FA885,FirstOfficer -> FirstOfficer,280,320,0,NKX,NKX,No
A0014,FirstOfficer,2021-08-17,FA812 -> FA813 -> FA864 -> FA865,FirstOfficer -> FirstOfficer -> FirstOfficer -> FirstOfficer,425,565,0,NKX,NKX,No
A0014,FirstOfficer,2021-08-20,FA890 -> FA891,Deadhead -> FirstOfficer,140,320,1,NKX,NKX,No
A0014,FirstOfficer,2021-08-21,FA854 -> FA855,FirstOfficer -> FirstOfficer,205,245,0,NKX,NKX,No
A0014,FirstOfficer,2021-08-25,FA812 -> FA813,FirstOfficer -> FirstOfficer,215,260,0,NKX,NKX,No
A0015,FirstOfficer,2021-08-16,FA890,FirstOfficer,140,140,0,NKX,XGS,Yes
A0015,FirstOfficer,2021-08-17,FA884 -> FA885,FirstOfficer -> FirstOfficer,280,320,0,NKX,NKX,No
A0015,FirstOfficer,2021-08-18,FA812 -> FA813 -> FA864 -> FA865,FirstOfficer -> FirstOfficer -> FirstOfficer -> FirstOfficer,425,565,0,NKX,NKX,No
A0015,FirstOfficer,2021-08-21,FA890 -> FA891,Deadhead -> FirstOfficer,140,320,1,NKX,NKX,No
A0015,FirstOfficer,2021-08-22,FA680 -> FA681 -> FA854 -> FA855,FirstOfficer -> FirstOfficer -> FirstOfficer -> FirstOfficer,385,595,0,NKX,NKX,No
A0016,FirstOfficer,2021-08-16,FA680 -> FA681,Deadhead -> FirstOfficer,90,220,1,NKX,NKX,No
A0016,FirstOfficer,2021-08-17,FA890 -> FA891,FirstOfficer -> FirstOfficer,280,320,0,NKX,NKX,No
A0016,FirstOfficer,2021-08-18,FA872 -> FA873 -> FA884,FirstOfficer -> FirstOfficer -> FirstOfficer,275,355,0,NKX,XGS,Yes
A0016,FirstOfficer,2021-08-19,FA812 -> FA813 -> FA864 -> FA865,FirstOfficer -> FirstOfficer -> FirstOfficer -> FirstOfficer,425,565,0,NKX,NKX,No
A0016,FirstOfficer,2021-08-21,FA680 -> FA681 -> FA864,FirstOfficer -> FirstOfficer -> FirstOfficer,285,675,0,NKX,PXB,Yes
A0016,FirstOfficer,2021-08-23,FA680 -> FA681 -> FA854 -> FA855,FirstOfficer -> FirstOfficer -> FirstOfficer -> FirstOfficer,385,595,0,NKX,NKX,No
A0017,FirstOfficer,2021-08-15,FA854,FirstOfficer,100,100,0,NKX,CTH,Yes
A0017,FirstOfficer,2021-08-18,FA890,FirstOfficer,140,140,0,NKX,XGS,Yes
A0017,FirstOfficer,2021-08-19,FA872 -> FA873 -> FA884 -> FA885,FirstOfficer -> FirstOfficer -> FirstOfficer -> FirstOfficer,415,535,0,NKX,NKX,No
A0017,FirstOfficer,2021-08-20,FA812 -> FA813 -> FA864 -> FA865,FirstOfficer -> FirstOfficer -> FirstOfficer -> FirstOfficer,425,565,0,NKX,NKX,No
A0017,FirstOfficer,2021-08-21,FA812 -> FA813,Deadhead -> FirstOfficer,110,260,1,NKX,NKX,No
A0017,FirstOfficer,2021-08-23,FA890 -> FA891,Deadhead -> FirstOfficer,140,320,1,NKX,NKX,No
A0017,FirstOfficer,2021-08-24,FA854 -> FA855,Deadhead -> FirstOfficer,105,245,1,NKX,NKX,No
A0018,FirstOfficer,2021-08-17,FA872 -> FA873,FirstOfficer -> FirstOfficer,135,175,0,NKX,NKX,No
A0018,FirstOfficer,2021-08-19,FA890 -> FA891,FirstOfficer -> FirstOfficer,280,320,0,NKX,NKX,No
A0018,FirstOfficer,2021-08-20,FA884 -> FA885,FirstOfficer -> FirstOfficer,280,320,0,NKX,NKX,No
A0018,FirstOfficer,2021-08-21,FA864 -> FA865,Deadhead -> FirstOfficer,105,255,1,NKX,NKX,No
A0018,FirstOfficer,2021-08-22,FA812 -> FA813,FirstOfficer -> FirstOfficer,215,260,0,NKX,NKX,No
A0018,FirstOfficer,2021-08-24,FA890 -> FA891,Deadhead -> FirstOfficer,140,320,1,NKX,NKX,No
A0018,FirstOfficer,2021-08-25,FA872 -> FA873 -> FA854 -> FA855,FirstOfficer -> FirstOfficer -> FirstOfficer -> FirstOfficer,340,600,0,NKX,NKX,No
A0019,FirstOfficer,2021-08-11,FA884 -> FA885 -> FA864,FirstOfficer -> FirstOfficer -> FirstOfficer,385,465,0,NKX,PXB,Yes
A0019,FirstOfficer,2021-08-18,FA888,FirstOfficer,140,140,0,NKX,XGS,Yes
A0019,FirstOfficer,2021-08-20,FA890,FirstOfficer,140,140,0,NKX,XGS,Yes
A0019,FirstOfficer,2021-08-21,FA872 -> FA873 -> FA884,FirstOfficer -> FirstOfficer -> FirstOfficer,275,355,0,NKX,XGS,Yes
A0019,FirstOfficer,2021-08-22,FA864 -> FA865,Deadhead -> FirstOfficer,105,255,1,NKX,NKX,No
A0019,FirstOfficer,2021-08-24,FA680 -> FA681,FirstOfficer -> FirstOfficer,180,220,0,NKX,NKX,No
A0019,FirstOfficer,2021-08-25,FA890 -> FA891,Deadhead -> FirstOfficer,140,320,1,NKX,NKX,No
A0020,FirstOfficer,2021-08-11,FA680 -> FA681,Deadhead -> FirstOfficer,90,220,1,NKX,NKX,No
A0020,FirstOfficer,2021-08-12,FA884 -> FA885 -> FA864,FirstOfficer -> FirstOfficer -> FirstOfficer,385,465,0,NKX,PXB,Yes
A0020,FirstOfficer,2021-08-15,FA680 -> FA681,FirstOfficer -> FirstOfficer,180,220,0,NKX,NKX,No
A0020,FirstOfficer,2021-08-20,FA872 -> FA873,FirstOfficer -> FirstOfficer,135,175,0,NKX,NKX,No
A0020,FirstOfficer,2021-08-21,FA890 -> FA885,FirstOfficer -> FirstOfficer,280,560,0,NKX,NKX,No
A0020,FirstOfficer,2021-08-22,FA872 -> FA873 -> FA884 -> FA885,FirstOfficer -> FirstOfficer -> FirstOfficer -> FirstOfficer,415,535,0,NKX,NKX,No
A0020,FirstOfficer,2021-08-23,FA864 -> FA865,FirstOfficer -> FirstOfficer,210,255,0,NKX,NKX,No
A0020,FirstOfficer,2021-08-25,FA680 -> FA681,FirstOfficer -> FirstOfficer,180,220,0,NKX,NKX,No
A0021,FirstOfficer,2021-08-11,FA812 -> FA813,FirstOfficer -> FirstOfficer,215,260,0,NKX,NKX,No
A0021,FirstOfficer,2021-08-13,FA872 -> FA873 -> FA884 -> FA885,FirstOfficer -> FirstOfficer -> FirstOfficer -> FirstOfficer,415,535,0,NKX,NKX,No
A0021,FirstOfficer,2021-08-16,FA680,FirstOfficer,90,90,0,NKX,PGX,Yes
A0021,FirstOfficer,2021-08-21,FA812,FirstOfficer,105,105,0,NKX,PDK,Yes
A0021,FirstOfficer,2021-08-22,FA890 -> FA891 -> FA864,FirstOfficer -> FirstOfficer -> FirstOfficer,385,705,0,NKX,PXB,Yes
A0021,FirstOfficer,2021-08-23,FA872 -> FA873 -> FA884 -> FA885,FirstOfficer -> FirstOfficer -> FirstOfficer -> FirstOfficer,415,535,0,NKX,NKX,No
A0021,FirstOfficer,2021-08-24,FA864 -> FA865,FirstOfficer -> FirstOfficer,210,255,0,NKX,NKX,No
